城市,2017流动人口,2017平均房价
北京市,808.705951,57800.00 
天津市,510.5348665,22200.00 
石家庄市,36.31163347,17000.00 
唐山市,22.24344219,7340.00 
秦皇岛市,-115.049339,8010.00 
邯郸市,-108.7103927,8400.00 
邢台市,-57.27065611,7710.00 
保定市,-47.64853961,13000.00 
张家口市,-27.6636594,10500.00 
承德市,-29.8976952,9260.00 
沧州市,-32.57142857,10100.00 
廊坊市,-11.08704131,15600.00 
衡水市,-10.56798623,7970.00 
太原市,63.15715039,9700.00 
大同市,23.40857352,4140.00 
长治市,3.788414322,6370.00 
晋城市,11.79077113,6400.00 
朔州市,13.51682369,3540.00 
晋中市,2.222906328,5650.00 
运城市,-1.982169134,4090.00 
忻州市,6.826438651,4970.00 
临汾市,10.68161021,5150.00 
呼和浩特市,66.41415218,7960.00 
包头市,60.34065328,6580.00 
乌海市,11.70465807,4420.00 
赤峰市,-32.77051807,7380.00 
通辽市,-6.719178521,5850.00 
鄂尔多斯市,46.01995935,5600.00 
呼伦贝尔市,-6.294979732,3760.00 
沈阳市,95.15249727,8000.00 
大连市,102.6970145,10500.00 
鞍山市,14.69557387,4410.00 
抚顺市,-7.752425673,4800.00 
丹东市,2.603145117,5690.00 
锦州市,4.545737861,5140.00 
营口市,11.15044977,4600.00 
阜新市,-11.34801359,3780.00 
辽阳市,5.399537716,4490.00 
盘锦市,13.65070603,3870.00 
铁岭市,-34.85332311,4040.00 
朝阳市,-45.9481573,4750.00 
葫芦岛市,-24.60417406,5450.00 
长春市,0.634463832,7480.00 
吉林市,2.350392611,5800.00 
四平市,1.00367527,4720.00 
辽源市,0.549543163,4040.00 
通化市,0.477768212,4500.00 
白山市,1.490861711,3440.00 
松原市,0.001413832,4430.00 
白城市,2.068316059,4980.00 
哈尔滨市,-0.28361573,8350.00 
齐齐哈尔市,-28.11405216,5190.00 
鸡西市,-0.045868677,3360.00 
大庆市,-0.363385785,5180.00 
佳木斯市,-8.857096372,4100.00 
牡丹江市,16.73019872,4820.00 
绥化市,2.983740512,3570.00 
上海市,967.4816836,50000.00 
南京市,162.2938773,25700.00 
无锡市,165.9998867,9590.00 
徐州市,-172.0464507,8790.00 
常州市,95.48671377,12100.00 
苏州市,385.1708758,15300.00 
南通市,-36.8970896,10700.00 
连云港市,-85.49753713,8440.00 
淮安市,-79.89828011,7990.00 
盐城市,-107.8292297,8440.00 
扬州市,-13.25213059,10900.00 
镇江市,45.88927307,9050.00 
泰州市,-43.63002377,9110.00 
宿迁市,-105.3365072,7120.00 
杭州市,174.2974028,28500.00 
宁波市,193.9995572,17000.00 
温州市,96.60201868,18000.00 
嘉兴市,107.9502668,10500.00 
湖州市,31.24877448,11000.00 
绍兴市,52.79950938,11900.00 
金华市,67.69653653,14500.00 
衢州市,-42.2493437,11300.00 
舟山市,18.50011632,13400.00 
台州市,6.445999969,12100.00 
丽水市,-52.80006401,9730.00 
合肥市,52.94662956,14400.00 
芜湖市,-21.80065116,9180.00 
蚌埠市,-48.89910405,6470.00 
淮南市,-44.64862451,5410.00 
马鞍山市,-2.098339738,5940.00 
淮北市,2.352046559,5940.00 
铜陵市,-11.34356237,7310.00 
安庆市,-69.10404277,6980.00 
黄山市,-10.35117528,8790.00 
滁州市,-50.94464746,6510.00 
阜阳市,-267.3855005,9010.00 
宿州市,-97.01128966,5630.00 
六安市,-111.3596446,7870.00 
池州市,-18.05229844,7550.00 
宣城市,-20.34749632,8160.00 
福州市,66.50324008,26800.00 
厦门市,167.9996299,47200.00 
莆田市,-61.99783615,13700.00 
三明市,-33.00132403,7470.00 
泉州市,124.4982773,10700.00 
漳州市,-5.500546659,13700.00 
南平市,-56.00012725,7870.00 
龙岩市,-52.00107803,10600.00 
宁德市,-63.99932574,9490.00 
南昌市,10.71316699,11400.00 
景德镇市,-4.229480868,5860.00 
萍乡市,-9.234626409,4090.00 
九江市,-36.32869537,6570.00 
赣州市,-114.2025542,7820.00 
吉安市,-44.14547226,6960.00 
宜春市,-49.78208187,5740.00 
抚州市,-0.819227337,7360.00 
上饶市,-108.6534301,7780.00 
济南市,85.26245343,15800.00 
青岛市,124.0502253,18100.00 
淄博市,34.44993498,7030.00 
枣庄市,-23.31691037,4980.00 
东营市,19.13968688,6250.00 
烟台市,48.9129467,8800.00 
潍坊市,-28.69295656,6000.00 
济宁市,-43.31446711,6670.00 
泰安市,-7.089348942,8340.00 
威海市,25.22920679,8230.00 
日照市,-10.94023125,6820.00 
莱芜市,7.370869152,5780.00 
临沂市,-103.2580728,5240.00 
德州市,-16.27552305,6910.00 
聊城市,-32.634638,7740.00 
滨州市,-4.50273747,7280.00 
菏泽市,-158.846977,6150.00 
郑州市,137.6392515,12900.00 
开封市,-104.5345296,6140.00 
洛阳市,-59.7960468,6550.00 
平顶山市,-70.79464967,5200.00 
安阳市,-113.4505972,5010.00 
鹤壁市,-9.009303296,5620.00 
新乡市,-72.80320063,6050.00 
焦作市,-19.99976345,4920.00 
濮阳市,-71.14486133,6200.00 
许昌市,-73.8983713,6460.00 
漯河市,-6.000899412,4370.00 
三门峡市,-3.872975176,4820.00 
南阳市,-190.4965173,5280.00 
商丘市,-249.2253037,5030.00 
信阳市,-265.8290738,6300.00 
周口市,-377.5026478,4440.00 
驻马店市,-251.954213,6650.00 
武汉市,234.692641,16300.00 
黄石市,-23.82309128,6210.00 
十堰市,-8.397310078,5390.00 
宜昌市,18.25188379,7530.00 
襄阳市,-31.35284711,8400.00 
鄂州市,-4.59988264,4580.00 
荆门市,-10.12006861,4430.00 
孝感市,-33.89154982,5190.00 
荆州市,-76.20953638,6360.00 
黄冈市,-116.3895444,4680.00 
咸宁市,-52.35214755,3300.00 
随州市,-32.37163991,5000.00 
长沙市,57.84773046,9870.00 
株洲市,-3.160081184,5480.00 
湘潭市,-6.921890638,4900.00 
衡阳市,-67.8324449,4740.00 
邵阳市,-100.8544813,4530.00 
岳阳市,-5.477677269,6910.00 
常德市,-26.58273154,6210.00 
张家界市,-18.3377709,6630.00 
益阳市,-41.86444392,5540.00 
郴州市,-62.93289927,4810.00 
永州市,-100.2577234,4810.00 
怀化市,-31.91222164,4960.00 
娄底市,-64.69801431,4740.00 
广州市,507.2302424,28600.00 
韶关市,-39.61708708,5220.00 
深圳市,779.3560578,51500.00 
珠海市,50.47283457,19500.00 
汕头市,-2.441321209,8340.00 
佛山市,344.665263,10200.00 
江门市,59.17581594,6690.00 
湛江市,-109.280383,6940.00 
茂名市,-188.7980838,7300.00 
肇庆市,-36.79006604,6960.00 
惠州市,112.5263739,10200.00 
梅州市,-115.9272636,7920.00 
汕尾市,-59.09034405,7550.00 
河源市,-65.2731724,6430.00 
阳江市,-44.02078087,5410.00 
清远市,-47.97564755,6690.00 
东莞市,624.7766866,13900.00 
中山市,160.9810799,11300.00 
揭阳市,-89.34589881,6100.00 
南宁市,-49.5873907,9520.00 
柳州市,8.072007,7670.00 
桂林市,-35.45050466,6180.00 
梧州市,-46.10713554,4140.00 
北海市,-10.52971744,5660.00 
防城港市,-4.629898344,4430.00 
钦州市,-86.3868267,3560.00 
贵港市,-123.7105713,5050.00 
玉林市,-143.8636347,4880.00 
重庆市,-328.1006528,9930.00 
成都市,182.3712968,12000.00 
自贡市,-49.45145118,5680.00 
攀枝花市,12.40933581,4010.00 
泸州市,-78.42337015,5990.00 
德阳市,-40.34871075,4980.00 
绵阳市,-65.85736349,6900.00 
广元市,-41.75414805,6180.00 
遂宁市,-48.60195982,6830.00 
内江市,-45.67536851,5340.00 
乐山市,-28.72192067,4910.00 
南充市,-102.6789455,5890.00 
眉山市,-49.886722,4340.00 
宜宾市,-106.0060161,6630.00 
广安市,-141.4267733,5330.00 
达州市,-125.7331121,6160.00 
巴中市,-43.19342065,4350.00 
资阳市,-102.120966,6240.00 
贵阳市,64.9298973,7480.00 
遵义市,-180.9712987,5560.00 
昆明市,110.2534447,9770.00 
玉溪市,19.84888696,6650.00 
保山市,-2.098092183,6440.00 
昭通市,-63.75021368,4760.00 
丽江市,6.250912257,5580.00 
普洱市,10.72206594,4720.00 
拉萨市,11.57465589,9170.00 
兰州市,45.93020406,9990.00 
平凉市,-23.94624271,6750.00 
酒泉市,-0.259295064,5180.00 
庆阳市,-46.37749682,5990.00 
定西市,-24.59704003,5220.00 
西宁市,29.19132748,6530.00 
银川市,33.76156311,4950.00 
石嘴山市,4.157583231,2980.00 
中卫市,-6.231682967,4440.00 
乌鲁木齐市,83.96115365,7250.00 
克拉玛依市,15.22703868,4680.00 
