,城市,常住人口,户籍人口,流动人口
0,北京市,1315.9959778919024,1316.3,-0.3040221080975698
1,天津市,1004.0005868831613,1004.0,0.0005868831613042857
2,河北省,7424.926587717459,7424.6,0.32658771745900594
3,  石家庄市,1003.0022684621889,1003.2,-0.19773153781113706
4,  唐山市,739.0003621832406,738.7,0.3003621832405088
5,  秦皇岛市,293.0018050088997,292.7,0.30180500889969153
6,  邯郸市,993.9949025974026,994.0,-0.005097402597357359
7,  邢台市,762.9936281502615,762.9,0.09362815026156568
8,  保定市,1164.0060518616488,1163.9,0.10605186164866609
9,  张家口市,467.0036878124889,466.9,0.10368781248894265
10,  承德市,378.0024663477253,378.1,-0.09753365227470567
11,  沧州市,754.0002502502502,754.3,-0.2997497497497079
12,  廊坊市,421.99843634626245,422.4,-0.4015636537375258
13,  衡水市,448.0026371970363,447.5,0.5026371970362788
14,山西省,3555.017811990785,3555.4,-0.38218800921504226
15,  太原市,366.9991178170535,367.5,-0.5008821829464978
16,  大同市,337.0018114048838,337.5,-0.49818859511617575
17,  阳泉市,132.99915219234364,132.7,0.2991521923436551
18,  长治市,338.9982207762499,338.6,0.39822077624990015
19,  晋城市,219.0017402746238,219.3,-0.29825972537619805
20,  朔州市,173.9987455288274,174.4,-0.4012544711725923
21,  晋中市,329.9958356199761,330.5,-0.5041643800238944
22,  运城市,522.0068220319582,522.4,-0.39317796804175487
23,  忻州市,311.00707771233135,311.4,-0.39292228766862536
24,  临汾市,426.99804626173113,427.2,-0.20195373826885543
25,  吕梁市,393.9972100182792,393.9,0.09721001827921327
26,内蒙古自治区,2174.0084540304247,2173.8,0.20845403042449107
27,  呼和浩特市,233.99925752618083,234.0,-0.0007424738191730285
28,  包头市,224.9996788489948,225.0,-0.00032115100520968554
29,  乌海市,54.99993247154158,55.3,-0.30006752845842044
30,  赤峰市,463.99419372592183,464.3,-0.3058062740781793
31,  通辽市,320.99877495135837,321.2,-0.20122504864161783
32,  鄂尔多斯市,153.99970413855658,154.3,-0.30029586144343057
33,  呼伦贝尔市,252.9980192416525,253.2,-0.20198075834747442
34,  巴彦淖尔市,183.00162202446188,183.2,-0.19837797553810788
35,  乌兰察布市,282.99721684825033,283.3,-0.3027831517496793
36,辽宁省,4237.977350007825,4238.0,-0.022649992174592626
37,  沈阳市,727.0023967420557,727.1,-0.09760325794434266
38,  大连市,590.999660113553,591.5,-0.5003398864470228
39,  鞍山市,350.00052034689793,349.8,0.20052034689791753
40,  抚顺市,218.00121975019516,218.0,0.0012197501951618506
41,  本溪市,152.00048389150643,152.3,-0.29951610849357735
42,  丹东市,240.00182066454255,239.7,0.30182066454256073
43,  营口市,232.99833695200257,232.5,0.49833695200257466
44,  阜新市,191.00263934171713,191.1,-0.09736065828286655
45,  盘锦市,129.00004774044476,129.0,4.774044475652772e-05
46,  朝阳市,339.99874559262275,339.5,0.498745592622754
47,  葫芦岛市,280.003504082075,279.9,0.1035040820750055
48,吉林省,2463.981562630689,2463.6,0.38156263068913177
49,  长春市,753.0034465632197,752.7,0.30344656321960883
50,  吉林市,428.99857405100636,429.1,-0.10142594899366486
51,  白山市,126.999736063194,127.1,-0.10026393680598744
52,  松原市,283.000085732412,283.0,8.573241200338089e-05
53,  白城市,199.00221321606162,199.1,-0.09778678393837481
54,  哈尔滨市,994.992186105547,995.2,-0.20781389445301102
55,  齐齐哈尔市,556.9932095971028,557.0,-0.006790402897195236
56,  鹤岗市,107.9997975093652,107.8,0.19979750936519736
57,  大庆市,283.00030455616013,282.6,0.4003045561601084
58,  伊春市,123.00233473128972,123.2,-0.19766526871028134
59,  佳木斯市,242.00287171967128,242.1,-0.09712828032871812
60,  七台河市,92.0013361838589,92.0,0.0013361838588963337
61,  绥化市,555.986944066125,556.2,-0.21305593387501176
62,上海市,1431.9980378249024,1432.3,-0.3019621750975148
63,江苏省,7617.045061068133,7616.8,0.24506106813259976
64,  南京市,643.0,643.1,-0.10000000000002274
65,  无锡市,472.0010761618454,472.2,-0.1989238381545988
66,  徐州市,1006.9975709421112,1006.9,0.09757094211124695
67,  常州市,366.0006798096533,365.9,0.100679809653343
68,  苏州市,653.9994070858269,653.8,0.19940708582691968
69,  南通市,767.0012786166585,766.5,0.5012786166585101
70,  连云港市,520.000495121596,520.2,-0.19950487840401365
71,  淮安市,552.9973066564063,553.0,-0.002693343593705322
72,  盐城市,824.0077765659822,823.8,0.20777656598227168
73,  扬州市,459.9988401041077,459.8,0.1988401041077168
74,  镇江市,271.99895931091515,271.8,0.19895931091514285
75,  泰州市,508.0012164011421,507.8,0.2012164011420623
76,  宿迁市,571.9998659068052,572.1,-0.1001340931948107
77,浙江省,4827.017310664606,4826.9,0.11731066460652073
78,  杭州市,707.0000169472854,706.6,0.40001694728539405
79,  宁波市,579.9976568601927,580.2,-0.20234313980733987
80,  温州市,807.0023985165477,807.2,-0.1976014834523312
81,  嘉兴市,345.9997581700065,345.9,0.09975817000650977
82,  湖州市,261.9981837467126,262.5,-0.5018162532874157
83,  绍兴市,441.9983399808374,441.7,0.29833998083739743
84,  金华市,473.00322926158617,473.4,-0.3967707384138066
85,  衢州市,254.0018751352261,254.2,-0.19812486477388802
86,  台州市,594.0053686471009,594.0,0.0053686471009086745
87,  丽水市,263.9983081798163,263.9,0.09830817981634254
88,安徽省,6929.041250713063,6928.5,0.5412507130631639
89,  合肥市,711.9973792872271,711.5,0.49737928722709057
90,  芜湖市,385.00121027634646,384.5,0.5012102763464554
91,  蚌埠市,366.99952661860027,366.6,0.3995266186002482
92,  淮南市,242.99807236061685,243.3,-0.301927639383166
93,  马鞍山市,227.99957673450672,228.4,-0.40042326549328777
94,  淮北市,214.99691405175838,214.5,0.496914051758381
95,  铜陵市,73.99997825448773,74.2,-0.2000217455122737
96,  安庆市,622.0026314635323,621.7,0.3026314635322933
97,  黄山市,146.9998124589754,147.4,-0.400187541024593
98,  滁州市,449.00500206696984,449.5,-0.49499793303016304
99,  阜阳市,1052.998810703667,1053.2,-0.20118929633304106
100,  宿州市,641.9803164556962,641.9,0.08031645569622015
101,  六安市,717.0203705018099,716.7,0.3203705018098617
102,  亳州市,632.9772763642183,632.9,0.0772763642182781
103,  宣城市,280.00162790697675,280.2,-0.198372093023238
104,福建省,3624.017824482059,3623.6,0.4178244820591317
105,  福州市,655.0037240819298,655.5,-0.49627591807018234
106,  厦门市,196.99988903828833,196.8,0.19988903828831894
107,  莆田市,334.00380549682876,334.2,-0.19619450317122755
108,  三明市,277.9979304246392,278.5,-0.5020695753607924
109,  泉州市,704.0033054952172,703.5,0.5033054952172051
110,  漳州市,489.00502996107247,489.5,-0.49497003892753355
111,  南平市,316.0031719723381,316.0,0.0031719723381229414
112,  龙岩市,302.99717456287624,302.6,0.39717456287621644
113,  宁德市,346.99997198722616,347.2,-0.20002801277382787
114,江西省,4818.93558467742,4819.1,-0.16441532258068037
115,  南昌市,510.0022167186449,510.1,-0.09778328135513448
116,  景德镇市,166.00002440155194,166.3,-0.2999755984480714
117,  萍乡市,194.0,193.6,0.4000000000000057
118,  九江市,508.0024421186172,508.1,-0.0975578813828406
119,  新余市,121.00074455899198,121.5,-0.49925544100801744
120,  鹰潭市,124.99887077103753,124.7,0.298870771037528
121,  赣州市,928.9995558516545,928.5,0.49955585165446337
122,  吉安市,508.9902178343372,509.1,-0.10978216566280707
123,  宜春市,577.9943328610717,578.1,-0.10566713892831103
124,  抚州市,420.004152527237,419.6,0.40415252723698813
125,  上饶市,760.0137758976027,759.7,0.31377589760268165
126,山东省,9612.010578437992,9612.1,-0.08942156200828322
127,  济南市,613.0020510776948,613.3,-0.29794892230518144
128,  青岛市,774.0033254707861,773.7,0.3033254707860351
129,  淄博市,424.9997204861305,425.3,-0.3002795138694978
130,  枣庄市,396.00025958293674,396.0,0.00025958293673511434
131,  东营市,187.00052356924635,187.0,0.0005235692463543273
132,  烟台市,650.9966950774048,651.2,-0.20330492259529365
133,  潍坊市,882.9921102566664,882.9,0.09211025666638761
134,  济宁市,847.9947689625109,847.8,0.19476896251092057
135,  泰安市,559.0008613264428,558.8,0.20086132644280497
136,  威海市,254.00125521762087,253.8,0.2012552176208544
137,  日照市,289.99806688575296,290.1,-0.10193311424706053
138,  莱芜市,127.00029151685939,126.5,0.5002915168593915
139,  临沂市,1089.9977133897364,1090.4,-0.40228661026367263
140,  德州市,579.0032237569711,578.8,0.20322375697116968
141,  聊城市,598.0006571796881,597.5,0.500657179688119
142,  滨州市,381.99760778268035,381.6,0.3976077826803248
143,  菏泽市,957.0094766817609,957.5,-0.49052331823907025
144,河南省,10879.830635033772,10880.3,-0.46936496622765844
145,  郑州市,919.0042231607024,919.1,-0.0957768392976277
146,  开封市,553.0051101107191,553.1,-0.09488988928092112
147,  洛阳市,691.9954171899443,692.3,-0.30458281005564913
148,  平顶山市,538.0049761559195,537.5,0.5049761559195076
149,  安阳市,601.9913472540046,602.0,-0.008652745995391342
150,  鹤壁市,166.00002668303225,165.9,0.10002668303224027
151,  新乡市,624.9897374194918,625.0,-0.010262580508197061
152,  焦作市,367.99741357013534,367.8,0.1974135701353248
153,  濮阳市,416.99701217263004,417.3,-0.3029878273699751
154,  许昌市,499.0053154733429,499.0,0.005315473342875521
155,  漯河市,273.99914130331075,274.2,-0.20085869668923806
156,  三门峡市,226.99929543939828,226.8,0.19929543939827
157,  南阳市,1170.9788220962375,1171.0,-0.021177903762463757
158,  商丘市,942.9988352133398,942.6,0.3988352133397939
159,  信阳市,859.9821603393887,859.8,0.1821603393887017
160,  周口市,1131.0351187468418,1130.8,0.23511874684186296
161,  驻马店市,896.0029052876234,896.0,0.0029052876234345604
162,湖北省,5333.037053374504,5333.5,-0.4629466254964427
163,  武汉市,821.9983108261513,822.1,-0.10168917384874021
164,  黄石市,261.99958705177914,262.3,-0.30041294822086684
165,  十堰市,346.99913297581963,346.7,0.2991329758196457
166,  宜昌市,399.9985805938795,400.1,-0.10141940612049893
167,  鄂州市,110.00034868719273,109.8,0.20034868719272936
168,  荆门市,300.99864844571255,300.8,0.1986484457125357
169,  孝感市,527.0024246033435,527.4,-0.39757539665652075
170,  荆州市,660.9873242226183,661.0,-0.01267577738167347
171,  黄冈市,750.0140710305623,750.2,-0.18592896943778214
172,  咸宁市,300.99744598605645,300.5,0.49744598605644796
173,  随州市,257.99586857387845,257.6,0.3958685738784311
174,湖南省,6852.950861692844,6852.9,0.050861692844591744
175,  长沙市,663.00255816109,662.8,0.20255816108999625
176,  株洲市,399.9982969468155,399.6,0.398296946815492
177,  湘潭市,289.9991760615743,289.9,0.09917606157432601
178,  衡阳市,786.0006521502844,785.9,0.10065215028441798
179,  邵阳市,807.978406978407,808.3,-0.32159302159300296
180,  岳阳市,560.0020693936676,560.0,0.0020693936676252633
181,  常德市,606.9935680977649,607.2,-0.20643190223518104
182,  张家界市,171.00060795959408,170.9,0.10060795959407187
183,  益阳市,479.9904696781914,480.0,-0.009530321808597364
184,  永州市,622.9842060631757,622.6,0.3842060631757249
185,  怀化市,515.006635333149,515.0,0.006635333149006328
186,  娄底市,438.99842958658866,438.6,0.3984295865886338
187,广东省,8745.958009250211,8745.6,0.35800925021067087
188,  广州市,832.0011762293756,832.3,-0.2988237706243808
189,  韶关市,327.9992531255074,328.0,-0.0007468744926200088
190,  深圳市,310.0002394446594,310.5,-0.49976055534057195
191,  珠海市,108.99966560008393,108.6,0.39966560008393515
192,  汕头市,540.0044485826609,540.0,0.00444858266087067
193,  佛山市,382.0007683421248,381.6,0.4007683421247634
194,  江门市,393.0005698005698,393.0,0.0005698005697922781
195,  湛江市,803.9992584497697,804.2,-0.2007415502303047
196,  茂名市,758.007088216717,757.7,0.3070882167169202
197,  肇庆市,430.00362637931926,429.8,0.2036263793192461
198,  惠州市,343.0005506748969,343.4,-0.3994493251030917
199,  梅州市,525.0129938312115,525.0,0.012993831211474571
200,  汕尾市,352.9977929584866,352.5,0.4977929584866274
201,  河源市,360.9941632176589,361.0,-0.005836782341077651
202,  阳江市,285.003754967795,285.1,-0.09624503220504721
203,  清远市,409.9926106526632,409.8,0.192610652663177
204,  东莞市,189.00018590112126,188.9,0.10018590112125025
205,  中山市,154.00025093517118,154.1,-0.09974906482881352
206,  潮州市,267.00277150482447,267.2,-0.19722849517552277
207,  揭阳市,683.0121255956433,682.7,0.31212559564323783
208,  云浮市,289.9990370263373,290.3,-0.3009629736627062
209,广西壮族自治区,5414.038118717997,5413.8,0.23811871799716755
210,  南宁市,723.9997934044367,724.4,-0.4002065955633043
211,  柳州市,371.99805677906505,372.4,-0.40194322093492474
212,  桂林市,521.9938918799786,521.8,0.19389187997865065
213,  梧州市,336.0018973403354,336.2,-0.19810265966458473
214,  北海市,168.9998160538962,169.4,-0.4001839461037946
215,  防城港市,93.00069066888625,93.0,0.0006906688862500232
216,  钦州市,397.00305488254503,396.5,0.5030548825450296
217,  贵港市,537.9996374709976,538.2,-0.2003625290024047
218,  玉林市,701.0168460458586,700.9,0.11684604585866509
219,  百色市,412.0091743119266,411.7,0.30917431192659706
220,  贺州市,234.0021531496715,233.6,0.4021531496715056
221,  河池市,413.98605998903594,413.7,0.2860599890359481
222,  来宾市,256.00575996822084,255.6,0.40575996822084903
223,  崇左市,247.0019012210064,246.5,0.501901221006392
224,海南省,220.99877234844556,221.0,-0.0012276515544442645
225,  海口市,163.0003243301681,163.2,-0.19967566983189045
226,  三亚市,57.99965835856821,57.7,0.2996583585682089
227,重庆市,3358.0138494600833,3358.4,-0.38615053991679815
228,四川省,8424.102289728746,8424.1,0.0022897287453815807
229,  成都市,1188.0025041083027,1188.0,0.0025041083026735578
230,  自贡市,329.99565102793883,329.7,0.29565102793884535
231,  攀枝花市,112.00067126295328,112.0,0.0006712629532756864
232,  泸州市,508.0095768374165,508.4,-0.3904231625834882
233,  德阳市,391.99811855887225,392.0,-0.0018814411277503496
234,  绵阳市,546.9980828509134,547.4,-0.4019171490865574
235,  广元市,309.9976096569858,310.2,-0.20239034301420133
236,  遂宁市,378.9948034575015,379.4,-0.4051965424984587
237,  内江市,427.002715329633,426.8,0.20271532963300842
238,  乐山市,356.0013803488518,356.0,0.001380348851796498
239,  南充市,758.9995429616088,759.0,-0.000457038391232345
240,  眉山市,352.0003274260222,352.2,-0.19967257397780713
241,  宜宾市,550.0056110747051,550.4,-0.3943889252948338
242,  广安市,470.00033766672294,470.4,-0.3996623332770355
243,  达州市,687.9985084521047,687.6,0.3985084521046929
244,  雅安市,157.00165276838706,157.0,0.0016527683870606324
245,  巴中市,390.0067510548523,390.2,-0.19324894514767266
246,  资阳市,506.9904390606145,507.3,-0.30956093938550566
247,贵州省,3068.0258221452964,3068.4,-0.3741778547037029
248,  贵阳市,379.00283512649025,379.1,-0.09716487350976877
249,  六盘水市,324.9981578365633,325.4,-0.4018421634366973
250,  遵义市,777.9812460110953,778.5,-0.5187539889046775
251,  安顺市,285.99226975876314,285.6,0.39226975876312054
252,  毕节市,871.033272028089,870.6,0.43327202808893617
253,  铜仁市,429.00256492465536,429.2,-0.19743507534462879
254,云南省,2862.043329414206,2861.8,0.24332941420561838
255,  昆明市,547.0012172269647,546.8,0.20121722696478628
256,  曲靖市,641.9994730869001,641.9,0.09947308690016143
257,  玉溪市,214.9981863567222,214.7,0.29818635672219784
258,  保山市,256.99537142857145,256.9,0.09537142857146819
259,  昭通市,586.9811338204014,586.5,0.4811338204013964
260,  丽江市,120.00163981865535,120.1,-0.09836018134464553
261,  普洱市,257.9970281416788,258.4,-0.4029718583211661
262,  临沧市,236.00198513981056,236.4,-0.3980148601894484
263,陕西省,3941.042362753945,3941.0,0.042362753944871656
264,  西安市,807.0007600541952,806.9,0.10076005419523426
265,  铜川市,85.99989315953951,85.6,0.3998931595395163
266,  宝鸡市,386.00464431071936,385.6,0.40464431071933404
267,  咸阳市,533.0010887004355,533.2,-0.1989112995645428
268,  渭南市,569.9949296488782,569.8,0.19492964887820108
269,  延安市,238.0017927446569,237.8,0.201792744656899
270,  汉中市,385.9957098454669,386.2,-0.20429015453311195
271,  榆林市,376.99805326376287,377.0,-0.0019467362371301533
272,  安康市,308.0048909720807,308.3,-0.2951090279192954
273,  商洛市,250.99734695882873,250.6,0.3973469588287344
274,甘肃省,2499.9725311480893,2500.0,-0.02746885191072579
275,  兰州市,368.9979434126885,368.6,0.3979434126885053
276,  嘉峪关市,19.999955794852752,20.0,-4.4205147247566856e-05
277,  白银市,177.00328557784144,177.0,0.0032855778414386805
278,  天水市,378.0152258923371,378.0,0.015225892337127789
279,  武威市,189.0042641808806,188.5,0.5042641808805968
280,  张掖市,130.99847935431043,131.3,-0.30152064568957826
281,  平凉市,231.99394640185008,231.9,0.09394640185007574
282,  酒泉市,111.00051874394799,110.8,0.2005187439479954
283,  庆阳市,263.9948977366883,264.1,-0.10510226331172134
284,  定西市,300.00975377661473,300.1,-0.09024622338529298
285,  陇南市,283.008166969147,282.8,0.20816696914698696
286,青海省,397.0003621329632,397.3,-0.2996378670368358
287,  西宁市,227.00057995221195,226.8,0.20057995221193892
288,  海东市,170.00035310734464,170.5,-0.4996468926553632
289,宁夏回族自治区,668.9937997069903,668.6,0.39379970699030764
290,  银川市,172.99958394846328,172.6,0.39958394846328815
291,  石嘴山市,77.0001724762414,76.6,0.4001724762414085
292,  吴忠市,144.00245509227054,143.7,0.3024550922705487
293,  固原市,153.99840067340068,154.2,-0.20159932659930746
294,  中卫市,120.99767981438515,121.5,-0.5023201856148489
295,新疆维吾尔自治区,301.00008864636993,300.9,0.1000886463699544
296,  乌鲁木齐市,262.9991403908834,262.9,0.09914039088340587
297,  克拉玛依市,38.000066814549534,37.9,0.10006681454953537
